name,category,da,url,submission_url,status,anchor_target
LegalTech Hub,LegalTech,64,https://www.legaltechnologyhub.com,https://www.legaltechnologyhub.com/submit,READY_FOR_SUBMISSION,Foreclosure Surplus Legal Intelligence
Justia Legal Resources,Legal,92,https://www.justia.com,https://lawyers.justia.com/resources,READY_FOR_SUBMISSION,Tax Deed Surplus Funds Research
HG.org Legal Resources,Legal,78,https://www.hg.org,https://www.hg.org/add-legal-service.html,READY_FOR_SUBMISSION,Excess Proceeds Court Docket Feeds
LawNext LegalTech Directory,LegalTech,58,https://directory.lawnext.com,https://directory.lawnext.com/claim-or-add/,READY_FOR_SUBMISSION,Surplus Docket Court Feeds
American Bar Association Legal Technology Resource Center,Legal,88,https://www.americanbar.org/groups/legal_technology_resources/,https://www.americanbar.org/submit,READY_FOR_SUBMISSION,Automated Foreclosure Surplus Docket Intelligence
ILTA (International Legal Technology Association),LegalTech,61,https://www.iltanet.org,https://www.iltanet.org/resources,READY_FOR_SUBMISSION,Legal Registry Data Automation
FindLaw Legal Technology Guide,Legal,89,https://www.findlaw.com,https://www.findlaw.com/legal-technology.html,READY_FOR_SUBMISSION,Court Docket Surplus Discovery
Legal IT Professionals Directory,LegalTech,54,https://www.legalitprofessionals.com,https://www.legalitprofessionals.com/directory,READY_FOR_SUBMISSION,Surplus Docket Practice Intelligence
National Association of Legal Professionals (NALS),Legal,52,https://www.nals.org,https://www.nals.org/vendor-directory,READY_FOR_SUBMISSION,Tax Sale Surplus Calculations
Capterra Legal Software,B2B SaaS,93,https://www.capterra.com,https://www.capterra.com/vendors/,READY_FOR_SUBMISSION,Surplus Docket Foreclosure Software
G2 Crowd Legal Practice Management,B2B SaaS,92,https://www.g2.com,https://sell.g2.com/claim-profile,READY_FOR_SUBMISSION,Surplus Docket Legal Tech Platform
SourceForge Enterprise Software,B2B SaaS,92,https://sourceforge.net,https://sourceforge.net/create/,READY_FOR_SUBMISSION,Surplus Docket Legal Research Engine
Software Advice,B2B SaaS,87,https://www.softwareadvice.com,https://www.softwareadvice.com/vendors/,READY_FOR_SUBMISSION,Excess Proceeds Litigation Software
GetApp Legal Software,B2B SaaS,89,https://www.getapp.com,https://www.getapp.com/vendors/,READY_FOR_SUBMISSION,Tax Deed Docket Surveillance
TrustRadius,B2B SaaS,86,https://www.trustradius.com,https://www.trustradius.com/vendor,READY_FOR_SUBMISSION,Surplus Docket Reviews
SaaSHub,B2B SaaS,74,https://www.saashub.com,https://www.saashub.com/submit,READY_FOR_SUBMISSION,Surplus Docket Legal Tech Alternatives
AlternativeTo,B2B SaaS,83,https://alternativeto.net,https://alternativeto.net/software/new/,READY_FOR_SUBMISSION,Legal Docket Aggregation Software
Slashdot Software Directory,B2B SaaS,91,https://slashdot.org,https://slashdot.org/software/vendors/,READY_FOR_SUBMISSION,Surplus Docket Data Platform
SoftwareWorld Legal Tech,B2B SaaS,68,https://softwareworld.co,https://softwareworld.co/submit-listing/,READY_FOR_SUBMISSION,Foreclosure Surplus Management
Crunchbase,Intelligence,93,https://www.crunchbase.com,https://www.crunchbase.com/add-new,READY_FOR_SUBMISSION,Surplus Docket Legal Intelligence
PitchBook,Intelligence,87,https://pitchbook.com,https://pitchbook.com/request-profile-update,READY_FOR_SUBMISSION,Surplus Docket Profile
ZoomInfo Enterprise Directory,Intelligence,90,https://www.zoominfo.com,https://www.zoominfo.com/business/claim,READY_FOR_SUBMISSION,Surplus Docket Legal Tech Overview
